Contig,Cut_Off,Best_Hit_ARO,Drug Class,Resistance Mechanism,AMR Gene Family
NODE_85_length_32279_cov_124.106805_13,Perfect,CMY-2,carbapenem; cephalosporin; cephamycin; penam,antibiotic inactivation,CMY beta-lactamase
NODE_432_length_10160_cov_122.545201_1,Perfect,CTX-M-231,cephalosporin,antibiotic inactivation,CTX-M beta-lactamase
NODE_432_length_10160_cov_122.545201_6,Perfect,QnrS1,fluoroquinolone antibiotic,antibiotic target protection,quinolone resistance protein (qnr)
NODE_999_length_4665_cov_12.492287_5,Strict,tet(B),tetracycline antibiotic,antibiotic efflux,major facilitator superfamily (MFS) antibiotic efflux pump
NODE_1022_length_4585_cov_122.537685_1,Strict,APH(6)-Id,aminoglycoside antibiotic,antibiotic inactivation,APH(6)
NODE_1022_length_4585_cov_122.537685_3,Strict,sul2,sulfonamide antibiotic,antibiotic target replacement,sulfonamide resistant sul
NODE_1186_length_4002_cov_4.354323_1,Perfect,evgA,macrolide antibiotic; fluoroquinolone antibiotic; penam; tetracycline antibiotic,antibiotic efflux,major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump
NODE_1314_length_3629_cov_111.785551_1,Perfect,aadA5,aminoglycoside antibiotic,antibiotic inactivation,ANT(3'')
NODE_1314_length_3629_cov_111.785551_2,Strict,dfrA17,diaminopyrimidine antibiotic,antibiotic target replacement,trimethoprim resistant dihydrofolate reductase dfr
NODE_1700_length_2834_cov_23.283709_2,Perfect,OXA-9,carbapenem; cephalosporin; penam,antibiotic inactivation,OXA beta-lactamase
NODE_1700_length_2834_cov_23.283709_3,Strict,ANT(3'')-IIa,aminoglycoside antibiotic,antibiotic inactivation,ANT(3'')
NODE_1700_length_2834_cov_23.283709_4,Strict,AAC(6')-Ib10,aminoglycoside antibiotic,antibiotic inactivation,AAC(6')
NODE_2286_length_2164_cov_4.474718_1,Strict,qacEdelta1,disinfecting agents and antiseptics,antibiotic efflux,major facilitator superfamily (MFS) antibiotic efflux pump
NODE_2286_length_2164_cov_4.474718_2,Perfect,sul1,sulfonamide antibiotic,antibiotic target replacement,sulfonamide resistant sul
NODE_3968_length_1169_cov_149.476967_1,Perfect,TEM-1,monobactam; cephalosporin; penam; penem,antibiotic inactivation,TEM beta-lactamase
NODE_999_length_4665_cov_12.492287_4,Strict,tetR,tetracycline antibiotic,antibiotic target alteration; antibiotic efflux,major facilitator superfamily (MFS) antibiotic efflux pump
